编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
399,Detecting unknown intrusions from large heterogeneous data through ensemble learning,2024,10.1016/j.iswa.2024.200465,paper/10.1016_j.iswa.2024.200465.pdf,IoT、车联网、工业互联网与边缘安全,,数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 开放世界未知攻击与误报控制,中相关,5,未发现,,Detecting
400,Detection of Unknown Attacks Through Encrypted Traffic: A Gaussian Prototype-Aided Variational Autoencoder Framework,2025,10.1109/tifs.2025.3612141,paper/10.1109_TIFS.2025.3612141.pdf,入侵检测与网络异常检测,加密流量分类与应用识别; 恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测; 生成式增强、GAN与扩散模型; 可解释性、规则抽取与因果分析,开放世界未知攻击与误报控制; 加密与隐私保护造成可观测特征缺失; 模型可解释、可信与可审计,强相关,12,已下载,Open-Detect -> source\Open-Detect,Detection; Unknown; Attacks; Through; Encrypted; Traffic; Gaussian; Prototype-Aided
401,Detection of Voltage Droop-Induced Timing Fault Attacks Due to Hardware Trojans,2024,10.1109/tcad.2024.3418395,paper/10.1109_TCAD.2024.3418395.pdf,恶意流量、暗网与攻击检测,,应用场景与系统化验证,域迁移、概念漂移与真实网络分布变化,强相关,10,未发现,,Detection; Voltage; Droop-Induced; Timing; Fault; Attacks; Due; Hardware
402,Disentangled Dynamic Intrusion Detection,2025,10.1109/tpami.2025.3595671,paper/10.1109_TPAMI.2025.3595671.pdf,入侵检测与网络异常检测,,应用场景与系统化验证,域迁移、概念漂移与真实网络分布变化,强相关,15,未发现,,Disentangled; Dynamic; Intrusion; Detection; Network-based; NIDS; DIDS-MFL; F1-score
403,DM-IDS—A Network Intrusion Detection Method Based on Dual-Modal Fusion,2025,10.1109/tnsm.2025.3565614,paper/10.1109_TNSM.2025.3565614.pdf,入侵检测与网络异常检测,,多模态、多视图与特征融合; 数据集、基准、工具与系统化评测; 在线、增量、开放集与概念漂移; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束; 域迁移、概念漂移与真实网络分布变化; 高速流量实时检测与资源约束,强相关,18,未发现,,DM-IDS; Network; Intrusion; Detection; Method; Based; Dual-Modal; Fusion
404,DRCAD: Dual-View Experts Routing and Counterfactual Generation for Explainable Time Series Anomaly Detection,2025,10.1109/tifs.2025.3639899,paper/10.1109_tifs.2025.3639899.pdf,时序、日志、KPI 与云原生异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测,模型可解释、可信与可审计; 数据集代表性、标准化评测与可复现,中相关,9,未发现,,DRCAD; Dual-View; Experts; Routing; Counterfactual; Generation; Explainable; Time
405,Drift-oriented Self-evolving Encrypted Traffic Application Classification for Actual Network Environment,2025,10.48550/arXiv.2501.04246,paper/10.48550_arXiv.2501.04246.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,在线、增量、开放集与概念漂移; 数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化; 加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,12,未发现,,Drift-oriented; Self-evolving; Encrypted; Traffic; Application; Classification; Actual; Network
406,Dual Spatio-Temporal Contrastive Learning Network With Adaptive Threshold Generation for Anomaly Detection of Electric Submersible Pump,2025,10.1109/tim.2025.3587359,paper/10.1109_TIM.2025.3587359.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 时序、日志、KPI 与云原生异常检测,多模态、多视图与特征融合; 自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模,中相关,6,未发现,,Dual; Spatio-Temporal; Contrastive; Learning; Network; Adaptive; Threshold; Generation
407,Dual Temporal Masked Modeling for KPI Anomaly Detection via Similarity Aggregation,2024,10.1109/tnsm.2024.3486167,paper/10.1109_TNSM.2024.3486167.pdf,时序、日志、KPI 与云原生异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,应用场景与系统化验证,域迁移、概念漂移与真实网络分布变化,中相关,7,已下载,GT-DMASA -> source\GT-DMASA,Dual; Temporal; Masked; Modeling; KPI; Anomaly; Detection; Similarity
408,eBiTCN: Efficient bidirectional temporal convolution network for encrypted malicious network traffic detection,2025,10.1177/0926227x251326282,paper/10.1177_0926227x251326282.pdf,时序、日志、KPI 与云原生异常检测,,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,14,未发现,,Efficient; Temporal; TCNs; However
409,Edge-featured multi-hop attention graph neural network for intrusion detection system,2024,10.1016/j.cose.2024.104132,paper/10.1016_j.cose.2024.104132.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; IoT、车联网、工业互联网与边缘安全,表征学习、预训练与Transformer; 图神经网络与关系建模; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,强相关,11,未发现,,Edge-featured
410,Efficient Intrusion Detection for In-Vehicle Networks Using Knowledge Distillation From BERT to CNN-BiLSTM,2025,10.1109/tifs.2025.3581117,paper/10.1109_TIFS.2025.3581117.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全,轻量化、实时与高性能部署; 表征学习、预训练与Transformer,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,13,未发现,,Efficient; Intrusion; Detection; In-Vehicle; Networks; Using; Knowledge; Distillation
411,Efficient Intrusion Detection in AMI Systems Based on Federated Semi-Supervised Learning,2025,10.1109/tnse.2025.3562751,paper/10.1109_TNSE.2025.3562751.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测; 自监督、对比学习与少样本学习; 轻量化、实时与高性能部署,标签稀缺、类别不平衡与长尾攻击; 高速流量实时检测与资源约束,强相关,14,未发现,,Efficient; Intrusion; Detection; AMI; Systems; Based; Federated; Semi-Supervised
412,Empirical Study of Hierarchical Intrusion Detection Systems for Unknown Attacks,2025,10.1109/tnsm.2025.3600378,paper/10.1109_TNSM.2025.3600378.pdf,入侵检测与网络异常检测,恶意流量、暗网与攻击检测; IoT、车联网、工业互联网与边缘安全,数据集、基准、工具与系统化评测; 在线、增量、开放集与概念漂移; 轻量化、实时与高性能部署,开放世界未知攻击与误报控制; 边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,强相关,13,未发现,,Empirical; Study; Hierarchical; Intrusion; Detection; Systems; Unknown; Attacks
413,Encrypted Traffic Classification Through Deep Domain Adaptation Network With Smooth Characteristic Function,2025,10.1109/tnsm.2025.3534791,paper/10.1109_TNSM.2025.3534791.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,12,未发现,,Encrypted; Traffic; Classification; Through; Deep; Domain; Adaptation; Network
414,EncryptoVision: A dual-modal fusion-based multi-classification model for encrypted traffic recognition,2025,10.1016/j.comnet.2025.111499,paper/10.1016_j.comnet.2025.111499.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,多模态、多视图与特征融合; 表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,10,未发现,,EncryptoVision
415,End-to-End Abnormal Subgraph Detection via Subgraph-Level Contrastive Learning,2025,10.1109/tnnls.2025.3573922,paper/10.1109_TNNLS.2025.3573922.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 图学习、知识图谱与威胁情报,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 数据集代表性、标准化评测与可复现,弱相关,1,未发现,,End-to-End; Abnormal; Subgraph; Detection; Subgraph-Level; Contrastive; Learning; NMI
416,End-to-End Attack Scene Reconstruction in a Host With Rules and Anomaly-Based Detection Models,2025,10.1109/tifs.2025.3588251,paper/10.1109_TIFS.2025.3588251.pdf,恶意流量、暗网与攻击检测,其他AI安全与跨域异常检测,可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 开放世界未知攻击与误报控制,强相关,10,已下载,eaGle -> source\eaGle,End-to-End; Attack; Scene; Reconstruction; Host; Rules; Anomaly-Based; Detection
417,Enhancing Anti-Interference of Magnetic Tracking: A MagRobustNet-Based Framework With Self-Supervised Anomaly Detection and Measurements Recovery,2024,10.1109/tii.2024.3461774,paper/10.1109_TII.2024.3461774.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 网络流量监测、测量与工具,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测; 自监督、对比学习与少样本学习,对抗规避、污染与鲁棒性,弱相关,2,未发现,,Enhancing; Anti-Interference; Magnetic; Tracking; MagRobustNet-Based; Framework; Self-Supervised; Anomaly
418,Enhancing Multivariate Time Series Anomaly Detection With an Inference Stacked Recurrent-Autoencoder in Strong Mechanistic Contexts,2024,10.1109/tii.2024.3485808,paper/10.1109_TII.2024.3485808.pdf,其他AI安全与跨域异常检测,时序、日志、KPI 与云原生异常检测; 入侵检测与网络异常检测,应用场景与系统化验证,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束,弱相关,2,未发现,,Enhancing; Multivariate; Time; Series; Anomaly; Detection; Inference; Stacked
419,Ensemble Intrusion Detection Based on Heterogeneous Data Augmentation and Knowledge Distillation,2025,10.1109/tii.2025.3593924,paper/10.1109_TII.2025.3593924.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全,生成式增强、GAN与扩散模型; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束,强相关,11,未发现,,Ensemble; Intrusion; Detection; Based; Heterogeneous; Data; Augmentation; Knowledge
420,Ensuring Zero Trust IoT Data Privacy: Differential Privacy in Blockchain Using Federated Learning,2024,10.1109/tce.2024.3444824,paper/10.1109_TCE.2024.3444824.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 模型可解释、可信与可审计; 边缘、IoT、车联网与工业场景约束,弱相关,3,已下载,DP_Blockchain -> source\DP_Blockchain,Ensuring; Zero; Trust; IoT; Data; Privacy; Differential; Blockchain
421,ERFS: Efficient Feature Graph Representation for Intrusion Detection Based on Flow Semantic Association,2025,10.1109/tccn.2025.3543357,paper/10.1109_TCCN.2025.3543357.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报,表征学习、预训练与Transformer; 轻量化、实时与高性能部署; 鲁棒性、对抗防御与可信检测,高速流量实时检测与资源约束; 多源异构数据融合与上下文建模; 对抗规避、污染与鲁棒性,强相关,13,已下载,ERFS -> source\ERFS,ERFS; Efficient; Feature; Graph; Representation; Intrusion; Detection; Based
422,ETGuard: Malicious Encrypted Traffic Detection in Blockchain-Based Power Grid Systems,2025,10.1007/978-981-97-9412-6_40,paper/10.1007_978-981-97-9412-6_40.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测; 联邦学习、隐私保护与分布式协同,数据集、基准、工具与系统化评测; 联邦学习、隐私保护与协同训练,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,14,未发现,,ETGuard; Malicious; Encrypted; Traffic; Detection; Blockchain-Based; Power; Grid
423,Evolving ML-Based Intrusion Detection: Cyber Threat Intelligence for Dynamic Model Updates,2025,10.1109/tmlcn.2025.3564587,paper/10.1109_tmlcn.2025.3564587.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报,在线、增量、开放集与概念漂移,域迁移、概念漂移与真实网络分布变化,强相关,13,未发现,,Evolving; ML-Based; Intrusion; Detection; Cyber; Threat; Intelligence; Dynamic
424,Exposing and Circumventing SNI-based QUIC Censorship of the Great Firewall of China,2025,10.5555/3766078.3766119,paper/10.5555_3766078.3766119.pdf,加密流量分类与应用识别,,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,11,未发现,,Exposing; Circumventing; SNI-based; QUIC; Censorship; Great; Firewall; China
425,Facing Differences of Similarity: Intra- and Inter-Correlation Unsupervised Learning for Chest X-Ray Anomaly Detection,2024,10.1109/tmi.2024.3461231,paper/10.1109_TMI.2024.3461231.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,应用场景与系统化验证,开放世界未知攻击与误报控制,强相关,10,未发现,,Facing; Differences; Similarity; Intra; Inter-Correlation; Unsupervised; Learning; Chest
426,FALL: Prior Failure Detection in Large Scale System Based on Language Model,2024,10.1109/tdsc.2024.3396166,paper/10.1109_TDSC.2024.3396166.pdf,其他AI安全与跨域异常检测,,表征学习、预训练与Transformer; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,高速流量实时检测与资源约束,弱相关,2,未发现,,FALL; Prior; Failure; Detection; Large; Scale; System; Based
427,FC2P: Feature Cross-Channel Projection for Unsupervised Anomaly Segmentation,2025,10.1109/tim.2025.3608319,paper/10.1109_TIM.2025.3608319.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测,表征学习、预训练与Transformer; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,弱相关,3,已下载,work-2 -> source\work-2,FC2P; Feature; Cross-Channel; Projection; Unsupervised; Anomaly; Segmentation; While
428,FeatDAE: Introducing Features With Denoising Autoencoder for Anomaly Detection,2025,10.1109/tim.2025.3565336,paper/10.1109_TIM.2025.3565336.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测,应用场景与系统化验证,边缘、IoT、车联网与工业场景约束,弱相关,3,未发现,,FeatDAE; Introducing; Features; Denoising; Autoencoder; Anomaly; Detection; Reconstructive
429,FeCo: Boosting Intrusion Detection Capability in IoT Networks via Contrastive Learning,2025,10.1109/tdsc.2025.3544106,paper/10.1109_TDSC.2025.3544106.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测; IoT、车联网、工业互联网与边缘安全,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,FeCo; Boosting; Intrusion; Detection; Capability; IoT; Networks; Contrastive
430,FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection,2025,10.1109/tifs.2025.3541890,paper/10.1109_TIFS.2025.3541890.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,自监督、对比学习与少样本学习; 联邦学习、隐私保护与协同训练; 图神经网络与关系建模; 数据集、基准、工具与系统化评测,标签稀缺、类别不平衡与长尾攻击; 多源异构数据融合与上下文建模,强相关,16,已下载,MaoPopovich/FeCoGraph -> source\FeCoGraph,FeCoGraph; Label-Aware; Federated; Graph; Contrastive; Learning; Few-Shot; Network
431,Fed-IoMT-Block: A Privacy-Preserving Framework for Secure Federated Learning in Consumer-Centric Internet of Medical Things,2025,10.1109/tce.2025.3582794,paper/10.1109_TCE.2025.3582794.pdf,多媒体、医学、遥感与视频异常检测,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,弱相关,3,未发现,,Fed-IoMT-Block; Privacy-Preserving; Framework; Secure; Federated; Learning; Consumer-Centric; Internet
432,Fed-RWM: A Robust Watermarking Approach for Federated Learning Model Ownership Protection,2025,10.1109/tnsm.2025.3596692,paper/10.1109_TNSM.2025.3596692.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测; 轻量化、实时与高性能部署,对抗规避、污染与鲁棒性; 边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,中相关,8,未发现,,Fed-RWM; Robust; Watermarking; Approach; Federated; Learning; Model; Ownership
433,Fed-UGI: Federated Undersampling Learning Framework With Gini Impurity for Imbalanced Network Intrusion Detection,2024,10.1109/tifs.2024.3516547,paper/10.1109_TIFS.2024.3516547.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同,数据集、基准、工具与系统化评测; 联邦学习、隐私保护与协同训练,标签稀缺、类别不平衡与长尾攻击,强相关,10,未发现,,Fed-UGI; Federated; Undersampling; Learning; Framework; Gini; Impurity; Imbalanced
434,Federated-Boosting: A Distributed and Dynamic Boosting-Powered Cyber-Attack Detection Scheme for Security and Privacy of Consumer IoT,2024,10.1109/tce.2024.3499942,paper/10.1109_TCE.2024.3499942.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全; 恶意流量、暗网与攻击检测,联邦学习、隐私保护与协同训练,域迁移、概念漂移与真实网络分布变化; 加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,Federated-Boosting; Distributed; Dynamic; Boosting-Powered; Cyber-Attack; Detection; Scheme; Security
435,Federated Edge Intelligence for Enhanced Security in Consumer Intermittent Healthcare Devices Using Adversarial Examples,2024,10.1109/tce.2024.3511615,paper/10.1109_TCE.2024.3511615.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,对抗规避、污染与鲁棒性; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,中相关,9,未发现,,Federated; Edge; Intelligence; Enhanced; Security; Consumer; Intermittent; Healthcare
436,Federated Graph Anomaly Detection via Contrastive Self-Supervised Learning,2024,10.1109/tnnls.2024.3414326,paper/10.1109_TNNLS.2024.3414326.pdf,其他AI安全与跨域异常检测,联邦学习、隐私保护与分布式协同; 入侵检测与网络异常检测,自监督、对比学习与少样本学习; 联邦学习、隐私保护与协同训练; 表征学习、预训练与Transformer; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失,弱相关,4,未发现,,Federated; Graph; Anomaly; Detection; Contrastive; Self-Supervised; Learning; Attribute
437,Federated Learning Under Attack: Exposing Vulnerabilities Through Data Poisoning Attacks in Computer Networks,2025,10.1109/tnsm.2025.3525554,paper/10.1109_TNSM.2025.3525554.pdf,恶意流量、暗网与攻击检测,联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,对抗规避、污染与鲁棒性,强相关,10,未发现,,Federated; Learning; Under; Attack; Exposing; Vulnerabilities; Through; Data
438,Federated Malware Detection in Flying Ad Hoc Drone Networks Using Hybrid Convolutional Learning and Adaptive Optimization,2025,10.1109/tce.2025.3618628,paper/10.1109_TCE.2025.3618628.pdf,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与分布式协同; 入侵检测与网络异常检测,联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Federated; Malware; Detection; Flying; Hoc; Drone; Networks; Using
439,Federated transfer learning for rare attack class detection in network intrusion detection systems,2025,10.1038/s41598-025-02068-x,paper/10.1038_s41598-025-02068-x.pdf,入侵检测与网络异常检测,恶意流量、暗网与攻击检测; 联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化,强相关,12,未发现,,Federated
440,FedIn-NID: A Federated Learning Framework for Network Intrusion Detection in Large-Scale Heterogeneous Industrial IoT,2025,10.1109/tifs.2025.3602226,paper/10.1109_TIFS.2025.3602226.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模,强相关,10,未发现,,FedIn-NID; Federated; Learning; Framework; Network; Intrusion; Detection; Large-Scale
441,Few-Shot Anomaly Detection via Category-Agnostic Registration Learning,2024,10.1109/tnnls.2024.3465446,paper/10.1109_TNNLS.2024.3465446.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测,自监督、对比学习与少样本学习; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,标签稀缺、类别不平衡与长尾攻击; 高速流量实时检测与资源约束,弱相关,3,已下载,CAReg -> source\CAReg,Few-Shot; Anomaly; Detection; Category-Agnostic; Registration; Learning; Most; NTRODUCTION
442,Few-Shot Website Fingerprinting With Distribution Calibration,2024,10.1109/tdsc.2024.3411014,paper/10.1109_TDSC.2024.3411014.pdf,加密流量分类与应用识别,,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化; 标签稀缺、类别不平衡与长尾攻击,强相关,11,未发现,,Few-Shot; Website; Fingerprinting; Distribution; Calibration; Tor; Unfortunately
443,FG-SAT: Efficient Flow Graph for Encrypted Traffic Classification Under Environment Shifts,2025,10.1109/tifs.2025.3571663,paper/10.1109_TIFS.2025.3571663.pdf,加密流量分类与应用识别,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 图神经网络与关系建模,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束; 多源异构数据融合与上下文建模,强相关,17,未发现,,FG-SAT; Efficient; Flow; Graph; Encrypted; Traffic; Classification; Under
444,FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network,2025,10.1109/tce.2025.3548798,paper/10.1109_TCE.2025.3548798.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; IoT、车联网、工业互联网与边缘安全,图神经网络与关系建模; 表征学习、预训练与Transformer; 轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模; 高速流量实时检测与资源约束,强相关,19,已下载,Hafizh28/FIR-GNN -> source\FIR-GNN; MengyiFu/FIR-GNN -> source\MengyiFu_FIR-GNN,FIR-GNN; Graph; Neural; Network; Using; Flow; Interaction; Relationships
445,Flow Microelement-Driven Traffic Relationship Analysis: Robust Detection of Malicious Encrypted Traffic,2025,10.1109/tifs.2025.3613971,paper/10.1109_TIFS.2025.3613971.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 对抗规避、污染与鲁棒性; 域迁移、概念漂移与真实网络分布变化; 多源异构数据融合与上下文建模,强相关,19,已下载,BSTS-Net -> source\BSTS-Net,Flow; Microelement-Driven; Traffic; Relationship; Analysis; Robust; Detection; Malicious
446,Frequency-Domain Anomaly Detection for Encrypted Traffic in Industrial Control Systems,2025,10.1109/tii.2025.3582394,paper/10.1109_TII.2025.3582394.pdf,加密流量分类与应用识别,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束,强相关,12,未发现,,Frequency-Domain; Anomaly; Detection; Encrypted; Traffic; Industrial; Control; Systems
447,Frequency-Domain Spectrum Discrepancy-Based Fast Anomaly Detection for IIoT Sensor Time-Series Signals,2025,10.1109/tim.2025.3554286,paper/10.1109_TIM.2025.3554286.pdf,IoT、车联网、工业互联网与边缘安全,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,中相关,7,已下载,FADSD -> source\FADSD,Frequency-Domain; Spectrum; Discrepancy-Based; Fast; Anomaly; Detection; IIoT; Sensor
448,Fuzzy State-Driven Cross-Time Spatial Dependence Learning for Multivariate Time-Series Anomaly Detection,2024,10.1109/tnnls.2024.3371109,paper/10.1109_TNNLS.2024.3371109.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,应用场景与系统化验证,多源异构数据融合与上下文建模,中相关,7,未发现,,Fuzzy; State-Driven; Cross-Time; Spatial; Dependence; Learning; Multivariate; Time-Series
449,Global or Local Adaptation? Client-Sampled Federated Meta-Learning for Personalized IoT Intrusion Detection,2024,10.1109/tifs.2024.3516548,paper/10.1109_TIFS.2024.3516548.pdf,入侵检测与网络异常检测,联邦学习、隐私保护与分布式协同; IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练,边缘、IoT、车联网与工业场景约束,强相关,16,未发现,,Global; Local; Adaptation; Client-Sampled; Federated; Meta-Learning; Personalized; IoT
450,GNN-Enhanced Traffic Anomaly Detection for Next-Generation SDN-Enabled Consumer Electronics,2025,10.1109/tce.2025.3620095,paper/10.1109_TCE.2025.3620095.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 图学习、知识图谱与威胁情报,图神经网络与关系建模,开放世界未知攻击与误报控制,强相关,11,未发现,,GNN-Enhanced; Traffic; Anomaly; Detection; Next-Generation; SDN-Enabled; Consumer; Electronics
451,GrainBrain: Multiview Identification and Stratification of Defective Grain Kernels,2025,10.1109/tii.2025.3528555,paper/10.1109_TII.2025.3528555.pdf,其他AI安全与跨域异常检测,,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,弱相关,2,未发现,,GrainBrain; Multiview; Identification; Stratification; Defective; Grain; Kernels; Typically
452,Graph Anomaly Detection in Time Series: A Survey,2025,10.1109/tpami.2025.3566620,paper/10.1109_TPAMI.2025.3566620.pdf,数据集、基准、综述与开源工具,入侵检测与网络异常检测; 图学习、知识图谱与威胁情报,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 多源异构数据融合与上下文建模,弱相关,4,未发现,,Graph; Anomaly; Detection; Time; Series; Survey; Time-Series; TSAD
453,Graph Anomaly Detection via Multiscale Contrastive Self-Supervised Learning From Local to Global,2024,10.1109/tcss.2024.3457161,paper/10.1109_TCSS.2024.3457161.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 图学习、知识图谱与威胁情报,自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模,弱相关,3,未发现,,Graph; Anomaly; Detection; Multiscale; Contrastive; Self-Supervised; Learning; From
454,GraphTAN: Temporal Attention Network for Learning Graph-Level Embedding,2025,10.1109/tcss.2025.3544460,paper/10.1109_TCSS.2025.3544460.pdf,图学习、知识图谱与威胁情报,时序、日志、KPI 与云原生异常检测,表征学习、预训练与Transformer; 图神经网络与关系建模,多源异构数据融合与上下文建模; 域迁移、概念漂移与真实网络分布变化,中相关,6,未发现,,GraphTAN; Temporal; Attention; Network; Learning; Graph-Level; Embedding; Numerous
455,GSA-DT: A Malicious Traffic Detection Model Based on Graph Self-Attention Network and Decision Tree,2025,10.1109/tnsm.2025.3531885,paper/10.1109_TNSM.2025.3531885.pdf,恶意流量、暗网与攻击检测,图学习、知识图谱与威胁情报,表征学习、预训练与Transformer,多源异构数据融合与上下文建模,强相关,14,未发现,,GSA-DT; Malicious; Traffic; Detection; Model; Based; Graph; Self-Attention
